scale_factor,query,prob_eval(s)
1,6_probab.sql,.30507358450000000000
1,9_probab.sql,6.46772502990000000000
1,12_probab.sql,3.12866436630000000000
1,19_probab.sql,.39903210330000000000
2,6_probab.sql,.31296229070000000000
2,9_probab.sql,12.50482264250000000000
2,12_probab.sql,6.08886559340000000000
2,19_probab.sql,.77220183300000000000
3,6_probab.sql,.29522939090000000000
3,9_probab.sql,19.08618790300000000000
3,12_probab.sql,9.38738938270000000000
3,19_probab.sql,1.14396607470000000000
4,6_probab.sql,.28578787410000000000
4,9_probab.sql,25.99582112440000000000
4,12_probab.sql,12.73179451260000000000
4,19_probab.sql,1.51141746920000000000
5,6_probab.sql,.26188244530000000000
5,9_probab.sql,32.69145803670000000000
5,12_probab.sql,16.09623995750000000000
5,19_probab.sql,.91981691190000000000
6,6_probab.sql,.29503600810000000000
6,9_probab.sql,39.58658994390000000000
6,12_probab.sql,18.22947983240000000000
6,19_probab.sql,1.30604883670000000000
7,6_probab.sql,.32527611970000000000
7,9_probab.sql,46.28136103310000000000
7,12_probab.sql,23.02730478280000000000
7,19_probab.sql,.19227106150000000000
8,6_probab.sql,.18406463980000000000
8,9_probab.sql,50.59557484300000000000
8,12_probab.sql,23.51661807630000000000
8,19_probab.sql,.34331402570000000000
9,6_probab.sql,.17387609390000000000
9,9_probab.sql,57.53892021140000000000
9,12_probab.sql,24.72245246700000000000
9,19_probab.sql,.74674513330000000000
10,6_probab.sql,.22823804330000000000
10,9_probab.sql,64.37074777430000000000
10,12_probab.sql,29.84179041270000000000
10,19_probab.sql,.05735515450000000000
