scale_factor,prob_eval(s)
1,237.984016929
2,479.887762836
3,718.045589778
4,978.540169677
5,1227.775627234
6,1472.102713798
7,1733.193753298
8,1980.064423227
9,2189.286011951
10,2486.949271271
