scale_factor,provenance(s),withoutprov(s)
1,45.500490866,18.589368925
2,92.821022954,38.345859768
3,141.062790561,56.602461245
4,184.239587833,75.506357107
5,233.730809190,94.105447849
6,283.902490316,113.921121950
7,332.823713030,128.808077578
8,371.257229743,147.052043530
9,416.204158789,164.298543777
10,477.646276435,182.982754921
