scale_factor,10,12,14,19,3,6,7,9
1,0.246799453,0.367826982,0.029697293,0.089819988,0.052260774,0.060614386,0.44857987,0.64125691
2,0.446325315,0.666892691,0.030729104,0.088957384,0.051289832,0.059781043,0.826569221,1.305132352
3,0.664045162,0.992357929,0.030268878,0.361230105,0.047156256,0.058597078,1.156563519,2.457824005
4,0.851933455,1.286163462,0.02913776,0.400969741,0.056218929,0.060352558,1.874820294,4.022106767
5,0.607996593,1.43240335,0.03026872,0.058166481,0.059998397,0.061319752,733.43416901,155.775058618
6,0.700700965,1.697601332,0.031740544,0.054343075,0.05670605,0.06175533,2.517497178,228.383682169
7,0.80743917,1.907101814,0.035821233,0.068949294,0.06648313,0.060139806,131.844761782,301.501828765
8,1.446843357,2.056538779,0.028202458,0.030755017,0.058334926,0.060080079,167.738193548,407.09133172
9,1.852163985,2.51495251,0.036422077,0.3949164,0.062188572,0.061505704,3.6738894,4.8318158
10,1.753504256,2.524990352,0.031127255,0.043180103,0.07070976,0.065900869,3.954910213,618.3035232
