scale_factor,query,time(s)
1,3_tpch_gprom.sql,1.08174969280000000000
2,3_tpch_gprom.sql,1.88292186840000000000
3,3_tpch_gprom.sql,5.93662309910000000000
4,3_tpch_gprom.sql,7.92315753000000000000
5,3_tpch_gprom.sql,9.91872061300000000000
6,3_tpch_gprom.sql,12.05964723170000000000
7,3_tpch_gprom.sql,14.29431290540000000000
8,3_tpch_gprom.sql,16.15251316320000000000
9,3_tpch_gprom.sql,18.07536423350000000000
10,3_tpch_gprom.sql,20.25321778940000000000
