scale_factor, prob_eval(s)
0.1,55.526346557
.2,117.174726440
.3,192.775599478
.4,255.498298328
.5,96.844214356
.6,115.787791341
.7,138.993611855
.8,171.378260524
.9,181.952783150
1.0,225.224953293
1.1,237.933123052
1.2,255.967116336
1.3,254.787632032
1.4,257.861174390
1.5,260.481305950
1.6,294.785537840
1.7,292.432419688
1.8,323.349887910
1.9,323.782148451
2.0,639.069599615
