scale_factor,noprov(s),prov(s),why(s)
1,8.337204488,30.260283339,964.189515234
2,17.658322246,58.679309463,1925.862923346
3,26.793822860,93.201715831,2879.923299306
4,37.857855754,124.165216940,3875.447119398
5,50.606237016,153.201814766,4843.271763798
6,65.098400360,195.849565130,5815.756112511
7,74.311365438,229.080999617,6762.353673176
8,82.942890926,264.015965885,7790.062020662
9,104.160367515,299.199690112,8781.481454605
10,112.557964726,335.818265007,9836.456469490
