scale_factor,provenance(s),withoutprov(s)
1,47.090718612,19.231203262999998
2,95.899502252,39.39930861
3,145.42004819500002,58.126391854
4,190.554801889,77.503777341
5,242.7798503,96.596344626
6,297.760050852,116.935411923
7,348.29722061300004,132.385292539
8,396.170688681,151.05497940799998
9,448.51087242,168.74132776599998
10,523.878229607,188.14510405000001
