scale_factor,noprov(s),prov(s),why(s)
1,.20175209400000000000,.74018972140000000000,3.45953857290000000000
2,.38207610740000000000,1.44740163130000000000,7.58525476350000000000
3,.54572222010000000000,2.12255721510000000000,11.73860428220000000000
4,.74745545540000000000,2.92228740780000000000,16.10525992920000000000
5,.91771092570000000000,3.57588121290000000000,20.53027030090000000000
6,1.08434470690000000000,4.29591657320000000000,25.34298353540000000000
7,1.23036693010000000000,5.09528742460000000000,30.31427938310000000000
8,1.38596677820000000000,5.83327081400000000000,35.13910735270000000000
9,1.54966874560000000000,6.92608881510000000000,39.81080068850000000000
10,3.74427315030000000000,15.99257070340000000000,53.19325050180000000000
